Status;Año - mes;Descripción SAP ;Nombre Lean;SAP;División;Marca;Tipo de Actividad;Clasificación;NPS;Nº APO;TON;Nº Rolling;TONxRolling;120;90;60;30;;;;;;;;;;;
1;2025-02;NIDO KINDER 1+Nectar3(1.6kg+360g)PRPrEMX;NIDO KINDER 1+ 1.6kg+360g;12575992;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;16;18197,27892;107;108;-1;1;1;1;1;;;;;;;;;;;
1;2025-02;CARLOS V Mix Brownie 10x1kg MX;CARLOS V Mix Brownie 10x1kg MX;12577524;Nestlé Professional;Carlos V;Innovaciones;Sabores;;63,999999;;;;1;1;1;1;;;;;;;;;;;
1;2025-02;La Lechera LCA Lata 8(3x375g) MX;Lechera 3 pack;12583592;Lácteos Culinarios;La Lechera;In&Out;Ofertas Armadas;26.688;39311,11111;450;329;121;1;1;1;1;;;;;;;;;;;
1;2025-02;CARNATION Leche Evaporada MP16(3x360g)MX;3 pack Carnation 360g;12594094;Lácteos Culinarios;Carnation;In&Out;Ofertas Armadas;104.645;125752,3148;2142;1988;154;1;1;1;1;;;;;;;;;;;
1;2025-02;NESCAFE FRAPPE 168x1.5kg N1 MX;NESCAFÉ Frappé Original;12596964;Nestlé Professional;Nescafé Clásico;In&Out;Ofertas Armadas;;0;;;;1;1;1;1;;;;;;;;;;;
1;2025-02;GERBER Plus Ciruela Manzana 12x175ml MX;Gerber Plus Ciruela;12598189;Alimentos Infantiles;Bebidas;Innovaciones;Sabores;705.772;2888,106964;7;4;3;1;1;1;1;;;;;;;;;;;
1;2025-02;CARNATIONLecheEvaporadaLat190(10x360g)MX;Carnation 10x360g;12602138;Lácteos Culinarios;Carnation;In&Out;Ofertas Armadas;33.756;468,181192;579;326;253;1;1;1;1;;;;;;;;;;;
1;2025-02;CRUNCH Untable 2x4.1kg MX;CRUNCH Untable 2x4.1kg MX;12603026;Nestlé Professional;Crunch;Innovaciones;Sabores;;75,000001;;;;1;1;1;1;;;;;;;;;;;
1;2025-02;NAN 3 OPTIPRO IF CP 80(2x1.6kg+400g)MX;NAN 3 OPTIPRO (2x1.6kg+400g);12603135;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;35.971.200;0;207;149;58;1;1;1;1;;;;;;;;;;;
1;2025-02;NAN 3 Optimal Pro 3(1.5kg+400g) MX;NAN 3 Optimal 1.5kg+400g;12603143;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;6.345.170;5297,999997;30;18;12;1;1;1;1;;;;;;;;;;;
1;2025-02;NAN 3 Optimal Pro 3(1.6kg+320g) MX;NAN 3 Optimal 1.6kg+320g;12604648;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;21.167.584;18055,55555;104;106;-2;1;1;1;1;;;;;;;;;;;
1;2025-02;NAN 3 Optimal Pro 12 (720+80g) MX;NAN 3 Optimal 720+80g;12606868;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;6.179.981;2595,999999;25;23;2;1;1;1;1;;;;;;;;;;;
1;2025-02;GERBER 3AET Picadillo Carne 12x170g MX;Hispanic;12608013;Alimentos Infantiles;Papillas;Innovaciones;Sabores;4.020.000;0;34;;34;1;1;1;1;;;;;;;;;;;
1;2025-02;GERBER 3AET Caldo de Pollo 12x170g MX;Hispanic;12608041;Alimentos Infantiles;Papillas;Innovaciones;Sabores;3.665.294;0;31;;31;1;1;1;1;;;;;;;;;;;
1;2025-02;GERBER 3AET Albondigas Carne 12x170g MX;Hispanic;12608050;Alimentos Infantiles;Papillas;Innovaciones;Sabores;4.114.588;0;34,8;;34,8;1;1;1;1;;;;;;;;;;;
1;2025-02;Gerber 3 Sopita de fideos 170g;Hispanic;12608051;Alimentos Infantiles;Papillas;Innovaciones;Sabores;3.665.294;0;31;;31;1;1;1;1;;;;;;;;;;;
1;2025-02;GERBER 2AET Pure Ciruelas Pasa 24x113gMX;Gerber Plus Ciruela;12608441;Alimentos Infantiles;Papillas;Innovaciones;Sabores;2.826.549;8919,61652;20;;20;1;1;1;1;;;;;;;;;;;
1;2025-02;ABUELITA Choc Tb 24(7x85g)PR85gGrts MX;Abuelita y su nieto;12610435;Mesa;Abuelita;In&Out;Jirafas;;14005,60224;;184;-184;1;1;1;1;;;;;;;;;;;
1;2025-02;TRIX Cereal 8x650g MX;TRIX Cereal 8x650g MX;12610658;Cereales;Trix;Línea;Empaque;;4215;;12;-12;1;1;1;1;;;;;;;;;;;
1;2025-02;VP Colageno Crm Vainilla 12x300g V2 MX;VP Creamer;12610914;Health Science;Vital Protein;Innovaciones;Sabores;;0;0,3132;;0,3132;1;1;1;1;;;;;;;;;;;
1;2025-02;MAGGI Salsa Soya Chiltepin 12x140ml MX; Soya Chiltepin 12x140ml;12611590;Culinarios;Sazonadores Líquidos;In&Out;Sabores;4.400.000;21311,04034;40;40;0;1;1;1;1;;;;;;;;;;;
1;2025-02;TASTER'S CHOICE Macadamia 12x250g MX;TASTER'S CHOICE Macadamia 12x250g MX;12612082;Cafés;Tasters;Innovaciones;Sabores;23;5757,142857;19;16;3;1;1;1;1;;;;;;;;;;;
1;2025-02;MAGGI Jugo Sazonador 12x250g PRTuny MX;Maggi+Atún;12613046;Culinarios;Sazonadores Líquidos;In&Out;Ofertas Armadas;13.000.000;38133;57,2;45;12,2;1;1;1;1;;;;;;;;;;;
1;2025-02;NAN 3 Optimal Pro (1.8 kg + 800 g) MX;NAN 3 Optimal Pro 1.8 kg+800g;12617093;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;4.000.000;0;21;;21;1;1;1;1;;;;;;;;;;;
1;2025-02;NESCAFE FRAPPE Caramelo 168x1.5kg MX;NESCAFÉ Frappé Caramelo;12617146;Nestlé Professional;Nescafé Clásico;Innovaciones;Sabores;;0;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;CARLOS V Chocolate MP 24(18x18g)PR36g+MX;Carlos V - Jirafa Suizo + Suizo;12398633;Impulso;Carlos V;In&Out;Jirafas;7.417;6430,041169;25;10;15;1;1;1;1;;;;;;;;;;;
1;2025-03;NIDOKND1+ NIDO1+ CP 3(1.5kg+360g) N1 MX;NIDOKND1+ 1.5kg+360g;12413322;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;15;17562,72401;98;98;0;1;1;1;1;;;;;;;;;;;
1;2025-03;NESCAFE CLASICO 128x1.5kg PR1kg+Zulka MX;Nescafé Clásico 1.5kg + Zulka;12436391;Nestlé Professional;Nescafé Clásico;In&Out;Jirafas;;338,541665;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;CARNATION Polvo Doypack24x520gPR60g+N1MX;Carnation jirafa 520g;12462744;Lácteos Culinarios;Carnation;In&Out;Jirafas;11.623;8946,490374;99;100;-1;1;1;1;1;;;;;;;;;;;
1;2025-03;NutriRindesDoypackLE24x520gPR60g+MX;NutriRindes 520g;12462751;Leches De Crecimiento;Nutri Rindes;In&Out;Jirafas;15.700.000;13165,0641;164;;164;1;1;1;1;;;;;;;;;;;
1;2025-03;NESTLE MEDIA CREMA 24x225g PR20%FreeN1MX;MC jirafa 225g +20%;12477435;Lácteos Culinarios;Mediacrema;In&Out;Jirafas;21.931;45308,64198;303;145;158;1;1;1;1;;;;;;;;;;;
1;2025-03;COFFEE-MATE Baileys 12x530g MX;Baileys Original 530g;12481074;Cremadores;Cm Líquido;In&Out;Sabores;17;18878,03077;243;173;70;1;1;1;1;;;;;;;;;;;
1;2025-03;NESCAFE CLASICO+CFMTCP140(2x350g+311g)MX; Clasico 2x350g + CFMT 311g;12518493;Cafés;Clásico;In&Out;Ofertas Armadas;136;49,593218;331;264;67;1;1;1;1;;;;;;;;;;;
1;2025-03;CONSOMATECaldoPllTom12(31x21g)PR84gGrtMX;Consomate 27+8 nueva;12535922;Culinarios;Consomate;In&Out;Ofertas Armadas;10.000.000;12798,89911;69,4;98;-28,6;1;1;1;1;;;;;;;;;;;
1;2025-03;LALECHERA+CARNATIONCP 10(670g+720g) MX;LALECHERA+CARNATIONCP 10(670g+720g) MX;12557361;Lácteos Culinarios;La Lechera;In&Out;Ofertas Armadas;13.375;23093,52517;286;315;-29;1;1;1;1;;;;;;;;;;;
1;2025-03;MORELIA PRESIDENCIALBsa24x445gPR88g+N1MX;Morelia 445g;12565682;Modificadores;Morelia;In&Out;Jirafas;5.984;0;72;;72;1;1;1;1;;;;;;;;;;;
1;2025-03;NIDO KINDER 1+ Nectar 3(1.4kg+360g)PrEMX;NIDO KINDER 1+ 1.4kg+360g;12575878;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;9.515.338;20174,00001;191055;188;190867;1;1;1;1;;;;;;;;;;;
1;2025-03;NIDO KINDER 1+Nectar3(1.6kg+360g)PRPrEMX;NIDO KINDER 1+1.6kg+360g;12575992;Leches De Crecimiento;Nido Kinder;In&Out;Ofertas Armadas;16;18197,27891;107;94;13;1;1;1;1;;;;;;;;;;;
1;2025-03;NESQUIK Polvo ChocolateLata 6x1.4kgN1MX;Nesquik 1.4;12579595;Modificadores;Nesquik;In&Out;Jirafas;9.412;6010,714268;93;94;-1;1;1;1;1;;;;;;;;;;;
1;2025-03;MATERNA Colageno 12x300g N1 MX;Colageno;12582007;Suplementos;Materna;Innovaciones;;1.749.122;821,000001;1,5;;1,5;1;1;1;1;;;;;;;;;;;
1;2025-03;La Lechera LCA Lata 8(3x375g) MX;Lechera 3 pack;12583592;Lácteos Culinarios;La Lechera;In&Out;Ofertas Armadas;14.600;52555,55556;250;472;-222;1;1;1;1;;;;;;;;;;;
1;2025-03;NDG Iced Cappuccino 10Caps 6x135g MX;NDG Iced Cappuccino;12586987;Dolce Gusto- Sbux;Dolce Gusto;In&Out;Sabores;8.165;5000;11,2;3;8,2;1;1;1;1;;;;;;;;;;;
1;2025-03;CNSMTBouChknTom1521(10x10.5g)PRBotdrN1MX;Botadero 10 cubos nueva;12591149;Culinarios;Consomate;In&Out;Botaderos de Origen;6.283.000;363,169572;58;58;0;1;1;1;1;;;;;;;;;;;
1;2025-03;'NANCARE GOS FOS 6(20x2.2g) MX;Relief;12592076;Suplementos;Nan Care;Innovaciones;;70.623;8,999999;0,007;;0,007;1;1;1;1;;;;;;;;;;;
